#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV): 0.04243172227636306 ph/cm^2/s


IP LOGLOG

DP 100.0  0.0007088239368751009
DP 109.854  0.0005788603189799845
DP 120.679  0.00046873334376022784
DP 132.571  0.0003766922817684069
DP 145.635  0.00030116908485134356
DP 159.986  0.00024002456752808543
DP 175.751  0.00018764540742796472
DP 193.07  0.0001451683252925943
DP 212.095  0.00011199590154357126
DP 232.995  8.588596096499873e-05
DP 255.955  6.384265453929713e-05
DP 281.177  4.81458556838735e-05
DP 308.884  3.535245003624389e-05
DP 339.322  2.5787441209251136e-05
DP 372.759  1.8879853098203167e-05
DP 409.492  1.3875227188381272e-05
DP 449.843  1.0254603146533864e-05
DP 494.171  7.655098894984489e-06
DP 542.868  5.814364921127005e-06
DP 596.362  4.476482967411902e-06
DP 655.129  3.4686402543224932e-06
DP 719.686  2.6888967266633534e-06
DP 790.604  2.0883878553804146e-06
DP 868.511  1.620386654745446e-06
DP 954.095  1.2618176126848576e-06
DP 1048.11  9.895072477114869e-07
DP 1151.4  7.822774169968296e-07
DP 1264.86  6.21620046502829e-07
DP 1389.5  4.942021582373682e-07
DP 1526.42  3.926987178130433e-07
DP 1676.83  3.115759658779766e-07
DP 1842.07  2.4657707711376527e-07
DP 2023.59  1.9431137059229194e-07
DP 2223.0  1.522868106080646e-07
DP 2442.05  1.1894917779083846e-07
DP 2682.7  9.253114013310762e-08
DP 2947.05  7.168749285584741e-08
DP 3237.46  5.536741215123184e-08
DP 3556.48  4.258833649771881e-08
DP 3906.94  3.263133183997186e-08
DP 4291.93  2.492434594162734e-08
DP 4714.87  1.8981372747575797e-08
DP 5179.47  1.4411432387654169e-08
DP 5689.87  1.090090808541819e-08
DP 6250.55  8.222628688124798e-09
DP 6866.49  6.187230353788692e-09
DP 7543.12  4.644430119119167e-09
DP 8286.43  3.478423005482979e-09
DP 9102.98  2.6000648135187824e-09
DP 10000.0  1.9402809400000003e-09
EN
